# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:P'
# Event count (approx.): 943792262
#
# Overhead  Command  Shared Object         Symbol
# ........  .......  ....................  .....................................................................................................................................................................................................................................................................................................................................................
#
    19.62%  a.out    a.out                 [.] find_word(hash_table_t*, word_t*)
    16.86%  a.out    a.out                 [.] hash6(word_t*)
    15.21%  a.out    a.out                 [.] find_words(hash_table_t*, char*, unsigned long)
     9.40%  a.out    libasan.so.8.0.0      [.] ___interceptor_strcmp.part.0
     6.85%  a.out    libc.so.6             [.] isblank
     2.16%  a.out    a.out                 [.] hash_table_add(hash_table_t*, word_t*, _IO_FILE*)
     1.49%  a.out    a.out                 [.] isblank@plt
     1.49%  a.out    [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     1.21%  a.out    libasan.so.8.0.0      [.] __asan::Allocator::Allocate(unsigned long, unsigned long, __sanitizer::BufferedStackTrace*, __asan::AllocType, bool)
     1.01%  a.out    libasan.so.8.0.0      [.] __lsan::GetUserBegin(unsigned long)
     0.96%  a.out    libasan.so.8.0.0      [.] __sanitizer::StackDepotBase<__sanitizer::StackDepotNode, 1, 20>::Put(__sanitizer::StackTrace, bool*)
     0.79%  a.out    libasan.so.8.0.0      [.] __asan::AsanInitIsRunning()
     0.79%  a.out    libasan.so.8.0.0      [.] __sanitizer::BufferedStackTrace::UnwindImpl(unsigned long, unsigned long, void*, bool, unsigned int)
     0.78%  a.out    libasan.so.8.0.0      [.] __asan::Allocator::Deallocate(void*, unsigned long, unsigned long, __sanitizer::BufferedStackTrace*, __asan::AllocType)
     0.78%  a.out    libasan.so.8.0.0      [.] ___interceptor_calloc
     0.69%  a.out    libasan.so.8.0.0      [.] ___interceptor_free
     0.69%  a.out    libasan.so.8.0.0      [.] __sanitizer::BufferedStackTrace::UnwindFast(unsigned long, unsigned long, unsigned long, unsigned long, unsigned int)
     0.60%  a.out    libc.so.6             [.] pthread_getspecific@@GLIBC_2.34
     0.60%  a.out    [kernel.kallsyms]     [k] clear_page_rep
     0.52%  a.out    libasan.so.8.0.0      [.] ___interceptor_free.part.0
     0.44%  a.out    a.out                 [.] make_hash_table(char*, hash_table_t*, unsigned long, _IO_FILE*)
     0.43%  a.out    libasan.so.8.0.0      [.] __asan::GetMallocContextSize()
     0.42%  a.out    libasan.so.8.0.0      [.] ___interceptor_vfprintf
     0.42%  a.out    libasan.so.8.0.0      [.] __sanitizer::CombinedAllocator<__sanitizer::SizeClassAllocator64<__asan::AP64<__sanitizer::LocalAddressSpaceView> >, __sanitizer::LargeMmapAllocatorPtrArrayDynamic>::Allocate(__sanitizer::SizeClassAllocator64LocalCache<__sanitizer::SizeClassAllocator64<__asan::AP64<__sanitizer::LocalAddressSpaceView> > >*, unsigned long, unsigned long)
     0.42%  a.out    ld-linux-x86-64.so.2  [.] do_lookup_x
     0.42%  a.out    libasan.so.8.0.0      [.] printf_common(void*, char const*, __va_list_tag*)
     0.38%  a.out    [kernel.kallsyms]     [k] sync_regs
     0.35%  a.out    [kernel.kallsyms]     [k] get_page_from_freelist
     0.34%  a.out    libasan.so.8.0.0      [.] __sanitizer::internal_strchr(char const*, int)
     0.34%  a.out    libasan.so.8.0.0      [.] __sanitizer_internal_memset
     0.32%  a.out    [kernel.kallsyms]     [k] asm_exc_page_fault
     0.26%  a.out    libasan.so.8.0.0      [.] __asan::PoisonShadow(unsigned long, unsigned long, unsigned char)
     0.26%  a.out    [kernel.kallsyms]     [k] rep_movs_alternative
     0.26%  a.out    libasan.so.8.0.0      [.] __asan::asan_calloc(unsigned long, unsigned long, __sanitizer::BufferedStackTrace*)
     0.26%  a.out    [kernel.kallsyms]     [k] get_mem_cgroup_from_mm
     0.26%  a.out    libc.so.6             [.] __printf_buffer
     0.26%  a.out    libasan.so.8.0.0      [.] __asan::FillChunk(__asan::AsanChunk*)
     0.26%  a.out    libasan.so.8.0.0      [.] __sanitizer::internal_strlen(char const*)
     0.26%  a.out    libasan.so.8.0.0      [.] __sanitizer::RunMallocHooks(void*, unsigned long)
     0.26%  a.out    libasan.so.8.0.0      [.] __sanitizer::BufferedStackTrace::Unwind(unsigned int, unsigned long, unsigned long, void*, unsigned long, unsigned long, bool)
     0.26%  a.out    libc.so.6             [.] __printf_buffer_write
     0.25%  a.out    [kernel.kallsyms]     [k] do_user_addr_fault
     0.25%  a.out    libasan.so.8.0.0      [.] __sanitizer::DTLS_on_tls_get_addr(void*, void*, unsigned long, unsigned long)
     0.18%  a.out    [kernel.kallsyms]     [k] __rcu_read_lock
